gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000213401.9,127.61786609162718,15.026214540129102,5.758361097284981,2.609460276329985,0.009068517415768113,0.02516621744316565
ENSG00000259481.1,28.07812537864504,14.830979717447622,5.480358233942261,2.7062062522834482,0.006805676247417127,0.019649298098412493
ENSG00000276027.1,44.26030055143515,12.997138283404402,4.639498743274362,2.8014100234956785,0.005087982729130988,0.015284252343823768
ENSG00000170373.8,733.863404366975,8.346596356490704,0.7722164302827447,10.808623112868272,3.1333767928772608e-27,3.304765616905245e-25
ENSG00000009709.11,355.3641599846466,8.124046797014111,1.2669428203235256,6.4123231662022135,1.4331862263971876e-10,2.0968541317688424e-09
ENSG00000184330.11,2885.004264259844,7.7423323351366555,1.3408473793404825,5.774208500108974,7.731565154163083e-09,8.468545444606988e-08
ENSG00000137745.11,1384.3722976595018,7.645332718158888,0.43554198834751773,17.55360659293932,5.582010119089847e-69,4.285979009639567e-65
ENSG00000259527.2,311.6851984024627,7.605363812078764,1.8185770483257133,4.1820410188728045,2.8890382987172595e-05,0.00015577678276131222
ENSG00000252835.1,132.96191715139798,7.43619930444851,1.5739302386046456,4.724605399945177,2.305626103268312e-06,1.5854431619303918e-05
ENSG00000123500.9,5586.844843217853,7.160972323803224,0.3634377939719479,19.703433276826313,2.0148260321917935e-86,7.735118620187515e-82
ENSG00000029559.6,86.36995368873998,6.975114597013174,0.5520578449292896,12.634753153279767,1.3581970944240192e-36,4.309301210911779e-34
ENSG00000147381.11,217.52354152362585,6.876388848785664,1.8432746818900914,3.7305285622078985,0.00019107847876404438,0.0008444887901542945
ENSG00000101441.4,75.39090170451438,6.627528196475455,0.5424421822345633,12.21794398284751,2.4931034007331896e-34,5.765827268526981e-32
ENSG00000230838.1,193.43096985534586,6.5704536987634405,0.36198181285083175,18.151336518862742,1.2531433248595566e-73,1.202735634617081e-69
ENSG00000196611.4,1421.3607933422431,6.536465977968404,0.5169039733859657,12.645416391658701,1.185945748693017e-36,3.8165503998687497e-34
ENSG00000060718.20,7207.406434756384,6.422237781017975,0.3533201657921046,18.176822052089864,7.876819512378752e-74,1.0079965929991089e-69
ENSG00000083782.7,183.97404616504417,6.412504494949961,0.5137417868473942,12.481960119110926,9.365237882183012e-36,2.624385748429839e-33
ENSG00000155886.11,305.5234839198247,5.902602110825115,0.4430927255186671,13.32136993202892,1.7388719226109919e-40,9.817210585435086e-38
ENSG00000099953.9,10110.278769603075,5.875710412014388,0.32210805388156605,18.241426568535264,2.4205764094497962e-74,4.646417446759356e-70
ENSG00000232679.1,27.12299318238874,5.775616341820857,0.5612817899726593,10.290047610670202,7.813772792013177e-25,6.40979810380722e-23
