gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000123500.9,5586.844843217853,7.160972323803224,0.3634377939719479,19.703433276826313,2.0148260321917935e-86,7.735118620187515e-82
ENSG00000099953.9,10110.278769603075,5.875710412014388,0.32210805388156605,18.241426568535264,2.4205764094497962e-74,4.646417446759356e-70
ENSG00000060718.20,7207.406434756384,6.422237781017975,0.3533201657921046,18.176822052089864,7.876819512378752e-74,1.0079965929991089e-69
ENSG00000230838.1,193.43096985534586,6.5704536987634405,0.36198181285083175,18.151336518862742,1.2531433248595566e-73,1.202735634617081e-69
ENSG00000137745.11,1384.3722976595018,7.645332718158888,0.43554198834751773,17.55360659293932,5.582010119089847e-69,4.285979009639567e-65
ENSG00000165197.4,918.4239492617444,-6.204939767325474,0.36928836141811755,-16.80242438049675,2.3426963675244107e-63,1.4989742707604943e-59
ENSG00000221857.7,976.3446184163433,-5.2832171781939055,0.3237191721820583,-16.320371581892733,7.070392764743753e-60,3.877706409018249e-56
ENSG00000266964.5,1047.3355199477294,-5.268951127772626,0.32450424777995046,-16.2369249827064,2.7643815749247604e-59,1.326592163036706e-55
ENSG00000081041.8,779.020057571474,-5.280171989303578,0.3297265994297152,-16.01378838842847,1.0238165149827502e-57,4.367259980744752e-54
ENSG00000149090.11,1865.7828719054698,-4.4299774430296655,0.2784497748131659,-15.909430869542234,5.450672597661407e-57,2.092567716968191e-53
ENSG00000168497.4,4871.134146109802,-5.190069332713391,0.3336755048253963,-15.55424134423418,1.489092581780085e-54,5.1970684824653855e-51
ENSG00000137960.5,355.9361475858777,-3.4901039175117248,0.22498888111884352,-15.512339543873653,2.862557349700643e-54,9.158036601029782e-51
ENSG00000161649.12,2848.813366590311,-7.4799923544604,0.4875658465613565,-15.341501885774724,4.037445761679366e-53,1.1923198479740966e-49
ENSG00000148053.15,12471.39251308871,-4.570359163127611,0.3012620407914995,-15.170710359393443,5.527533486052458e-52,1.5157681290217136e-48
ENSG00000112175.7,155.62483853784423,-5.068535129910247,0.3342099552641329,-15.165721577337457,5.963983997502483e-52,1.5264220643207857e-48
ENSG00000018625.14,2827.65376682112,-6.133194632900588,0.40704176115501683,-15.067728223996252,2.6403701623694405e-51,6.335403181470324e-48
ENSG00000167434.9,674.3516479639574,-8.009108163422283,0.5377528904932297,-14.893658974247982,3.6238264635746864e-50,8.183665986064459e-47
ENSG00000186871.6,347.5346702396126,3.396064220972904,0.22946651418613473,14.799824859056091,1.4686453067553365e-49,3.1323756650913404e-46
ENSG00000154736.5,4133.054897952176,-3.544658124029355,0.24007396827595576,-14.76485830381621,2.4684051091543066e-49,4.987607397133841e-46
ENSG00000233766.7,381.0253669740252,-5.398317560383683,0.367969623733604,-14.670552165718602,9.9531792658722e-49,1.9105625259804978e-45
ENSG00000174697.4,13530.606820550342,-9.275808175385036,0.6366561243571571,-14.56957346440511,4.3862103431678675e-48,8.018619108788457e-45
ENSG00000203805.10,244.96231280600867,5.4730635259891995,0.3767813659708316,14.525833866245112,8.312456636546742e-48,1.450561466971209e-44
ENSG00000117650.12,879.5861304040102,4.78614638795404,0.3319371419862911,14.41883351562901,3.9394431385990556e-47,6.575615718867667e-44
ENSG00000197576.13,242.98922005461299,-2.8074644946506475,0.1948670871399002,-14.40707374373126,4.670848136984112e-47,7.471605451123209e-44
ENSG00000171819.4,242.3433497649986,-6.714948315547752,0.46701145903413915,-14.378551501574357,7.055581250390459e-47,1.0834832791349606e-43
ENSG00000138207.13,7669.084245837435,-7.224702325838349,0.5063877376841137,-14.26713521713502,3.506915135680422e-46,5.178229960534887e-43
ENSG00000167588.12,24824.05750525698,-7.3092650171260685,0.51422999033619,-14.213999872600711,7.501549372651847e-46,1.0666369702425076e-42
ENSG00000279619.1,164.52286562557504,-4.925828169523642,0.34725987018539156,-14.184847120094501,1.1371327751084582e-45,1.5591308703281723e-42
ENSG00000168079.16,3719.4288886043314,-6.832668028276818,0.48333457362603416,-14.136518265220136,2.2620222996440666e-45,2.994527520883978e-42
ENSG00000187288.10,10258.399051094779,-8.289450563837445,0.5869309519588805,-14.123382888858435,2.7258545628823255e-45,3.488276084120512e-42
ENSG00000090889.11,974.3672299093471,4.340302212931549,0.3075428505166888,14.112837302638006,3.165798670181186e-45,3.92058634667503e-42
ENSG00000168874.12,748.4757211010874,-4.632237049911647,0.33018853250335967,-14.029067014507884,1.0350427754954442e-44,1.241760224813925e-41
