gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000174697.4,13530.606820550342,-9.275808175385036,0.6366561243571571,-14.56957346440511,4.3862103431678675e-48,8.018619108788457e-45
ENSG00000184601.10,982.7611811166889,-8.973086734149756,0.7619796161421496,-11.776019389573538,5.188603358493405e-32,9.137416125500931e-30
ENSG00000034971.16,1194.786672889172,-8.89833583148514,0.6784465980739672,-13.115749797768173,2.6752319539570288e-39,1.2838103743045536e-36
ENSG00000184811.3,9614.402248118437,-8.84488206957472,0.6977307512038016,-12.676640744749404,7.967389472036928e-37,2.6368624932842216e-34
ENSG00000185149.5,374.56490554346703,-8.829855821361498,0.7507580756498521,-11.761253202262823,6.180997439027519e-32,1.0688949219896642e-29
ENSG00000176194.17,2715.9616313336264,-8.50534175613271,0.723531896325279,-11.755310027560906,6.631689269610792e-32,1.1416914024646991e-29
ENSG00000259037.1,378.8046653474286,-8.475103714927354,0.7354162237400479,-11.524227289719272,9.960175983259311e-31,1.5234307417263276e-28
ENSG00000187288.10,10258.399051094779,-8.289450563837445,0.5869309519588805,-14.123382888858435,2.7258545628823255e-45,3.488276084120512e-42
ENSG00000135222.6,1206.4887437821915,-8.286157114189482,2.252704353389248,-3.6783153997650686,0.00023477952398681095,0.0010142135494707334
ENSG00000171199.10,471.28400196315437,-8.142071750727432,0.850503848610777,-9.573233282867312,1.036135742616447e-21,6.013339397881772e-20
ENSG00000181092.9,57818.418682403695,-8.02279483233859,0.6919937861719265,-11.593738256986775,4.433511282332838e-31,7.033344282646282e-29
ENSG00000167434.9,674.3516479639574,-8.009108163422283,0.5377528904932297,-14.893658974247982,3.6238264635746864e-50,8.183665986064459e-47
ENSG00000226482.1,25784.064112202115,-7.9946445985535775,0.6835674250695339,-11.695473343745636,1.3443552562078025e-31,2.273618618549504e-29
ENSG00000170323.8,53823.29017464681,-7.9867124546124115,0.5838960723332145,-13.678311660323347,1.3683298203494383e-42,1.1673677807341173e-39
ENSG00000149124.10,908.594530471507,-7.980709089932978,0.6097031623429547,-13.089499256105007,3.7809218257615085e-39,1.767474729685992e-36
ENSG00000196616.13,55031.381147843276,-7.9610706192633005,0.6412219862856787,-12.415467325720279,2.1542527978487846e-35,5.588102646095452e-33
ENSG00000250538.5,109.75957898240013,-7.852729401153023,0.6888875757989728,-11.399145052144998,4.222452088227353e-30,6.026176881752279e-28
ENSG00000166819.11,40011.27168669856,-7.682411016778626,0.5646747693570812,-13.605019090060546,3.738707890387955e-42,2.9292394820384487e-39
ENSG00000165478.6,786.4718132428854,-7.522061340959306,0.5960140778750838,-12.620610183868552,1.6255682403910546e-36,5.07375531031325e-34
ENSG00000161649.12,2848.813366590311,-7.4799923544604,0.4875658465613565,-15.341501885774724,4.037445761679366e-53,1.1923198479740966e-49
